OP | REF | HYP
DEL | so | ****
OK | most | most
OK | of | of
OK | what | what
OK | we | we
OK | do | do
OK | these | these
OK | days | days
SUB | our | are
OK | methods | methods
SUB | our | are
OK | theories | theories
DEL | our | ****
DEL | ideas | ****
OK | are | are
DEL | shaped | ****
SUB | to | ideas
OK | some | some
OK | extent | extent
OK | by | by
SUB | piaget's | piagets
SUB | influence | influenced
OK | and | and
OK | so | so
DEL | what | ****
OK | i | i
DEL | want | ****
DEL | to | ****
SUB | do | wanted
SUB | is | does
OK | begin | begin
OK | this | this
DEL | class | ****
DEL | that's | ****
DEL | going | ****
SUB | to | classes
SUB | talk | bennett
SUB | about | aqua
SUB | cognitive | cotton
OK | development | development
SUB | by | but
OK | talking | talking
OK | about | about
OK | his | his
OK | ideas | ideas
OK | his | his
OK | idea | idea
OK | was | was
OK | that | that
OK | children | children
OK | are | are
OK | active | active
OK | thinkers | thinkers
SUB | they're | it
OK | trying | trying
OK | to | to
OK | figure | figure
SUB | out | of
OK | the | the
OK | world | world
SUB | he | the
OK | often | often
SUB | described | describe
SUB | them | him
OK | as | as
OK | little | little
INS | **** | science
SUB | scientists | tom
OK | and | and
OK | incidentally | incidentally
DEL | to | ****
DEL | know | ****
SUB | where | the
SUB | he's | noise
OK | coming | coming
OK | from | from
OK | on | on
OK | this | this
OK | he | he
SUB | had | he
SUB | a | added
OK | very | very
INS | **** | hum
OK | dramatic | dramatic
SUB | and | an
OK | ambitious | ambitious
OK | goal | goal
DEL | he | ****
SUB | didn't | even
OK | start | start
SUB | off | up
OK | because | because
OK | he | he
OK | was | was
DEL | interested | ****
SUB | in | interesting
OK | children | children
OK | he | he
SUB | started | start
SUB | off | about
SUB | because | this
SUB | he | easy
SUB | was | into
SUB | interested | rest
OK | in | in
DEL | the | ****
OK | emergence | emergence
OK | of | of
OK | knowledge | knowledge
SUB | in | and
OK | general | general
INS | **** | tom
OK | it | it
OK | was | was
OK | a | a
OK | discipline | discipline
OK | he | he
OK | described | described
OK | as | as
OK | genetic | genetic
OK | epistemology | epistemology
OK | the | the
OK | origins | origins
OK | of | of
OK | knowledge | knowledge
OK | but | but
OK | he | he
SUB | studied | study
OK | development | development
OK | of | of
OK | the | the
OK | individual | individual
OK | child | child
SUB | because | is
OK | he | he
OK | was | was
OK | convinced | convinced
INS | **** | tom
OK | that | that
OK | this | this
OK | development | development
OK | will | will
OK | tell | tell
DEL | him | ****
SUB | about | but
OK | the | the
OK | development | development
OK | of | of
OK | knowledge | knowledge
DEL | more | ****
OK | generally | generally
SUB | there's | is
OK | a | a
OK | very | very
SUB | snooty | snoopy
OK | phrase | phrase
OK | that | that
OK | i | i
OK | don't | don't
DEL | know | ****
DEL | if | ****
DEL | you | ****
SUB | ever | never
OK | heard | heard
OK | it | it
OK | before | before
OK | it's | it's
OK | a | a
OK | great | great
OK | phrase | phrase
OK | it's | it's
INS | **** | aunt
INS | **** | ha
INS | **** | jimmy
INS | **** | week
SUB | ontogeny | a
SUB | recapitulates | pitch
SUB | phylogeny | late
SUB | and | a
SUB | the | lot
SUB | idea | and
SUB | of | idea
OK | this | this
OK | what | what
OK | that | that
OK | means | means
SUB | is | it's
SUB | that | how
OK | development | development
OK | of | of
OK | an | an
OK | individual | individual
SUB | mimics | minutes
SUB | or | are
OK | repeats | repeats
OK | development | development
OK | of | of
DEL | the | ****
SUB | species | this
OK | now | now
OK | it's | it's
OK | entirely | entirely
OK | not | not
OK | true | true
OK | but | but
SUB | it's | as
OK | a | a
OK | beautiful | beautiful
OK | phrase | phrase
OK | and | and
OK | piaget | piaget
OK | was | was
OK | committed | committed
OK | to | to
OK | this | this
OK | he | he
OK | was | was
OK | very | very
DEL | interested | ****
DEL | in | ****
SUB | saying | interesting
OK | look | look
DEL | we'll | ****
SUB | figure | will
SUB | how | fit
SUB | a | attic
SUB | kid | good
SUB | develops | develop
OK | and | and
SUB | that | i
OK | will | will
OK | tell | tell
OK | us | us
OK | about | about
OK | the | the
OK | development | development
OK | of | of
OK | knowledge | knowledge
OK | more | more
SUB | generally | general
OK | so | so
INS | **** | yes
INS | **** | a
INS | **** | view
SUB | piaget | to
SUB | viewed | trial
SUB | the | as
SUB | child | science
OK | as | as
OK | a | a
SUB | scientist | scientists
SUB | who | the
SUB | developed | develop
SUB | this | is
OK | understanding | understanding
OK | these | these
OK | schemas | schemas
SUB | these | the
SUB | little | fool
SUB | miniature | manager
OK | theories | theories
OK | of | of
OK | the | the
OK | world | world
OK | and | and
SUB | they | a
SUB | did | good
OK | this | this
DEL | through | ****
SUB | two | to
OK | sorts | sorts
OK | of | of
INS | **** | mac
SUB | mechanisms | and
OK | assimilation | assimilation
SUB | and | an
OK | accommodation | accommodation
OK | so | so
OK | assimilation | assimilation
OK | would | would
OK | be | be
OK | the | the
OK | act | act
OK | of | of
OK | expanding | expanding
OK | the | the
OK | range | range
OK | of | of
OK | things | things
SUB | that | the
SUB | you | u.
SUB | respond | response
SUB | to | bomb
SUB | piaget's | piagets
OK | example | example
OK | would | would
OK | be | be
OK | a | a
DEL | baby | ****
SUB | who's | babies
OK | used | used
OK | to | to
OK | sucking | sucking
OK | on | on
OK | a | a
OK | breast | breast
SUB | might | mike
SUB | come | compass
SUB | to | up
SUB | suck | on
OK | on | on
OK | a | a
OK | bottle | bottle
OK | or | or
OK | on | on
OK | a | a
SUB | rattle | rabbit
OK | that's | that's
